Straftat;Kanton;Ausführungsgrad;Aufklärungsgrad;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Graubünden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Thurgau;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Bestechung schweizerischer Amtsträger (Art. 322ter);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Zürich;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;1;0;1;0
Aktive Privatbestechung (Art. 322octies);Zürich;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;3;2
Aktive Privatbestechung (Art. 322octies);Zürich;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Zürich;Versucht;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;1;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Ausserrhoden;Versucht;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Innerrhoden;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Innerrhoden;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Appenzell Innerrhoden;Versucht;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);St. Gallen;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);St. Gallen;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);St. Gallen;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);St. Gallen;Versucht;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Graubünden;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Graubünden;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Graubünden;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Graubünden;Versucht;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Thurgau;Vollendet;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Thurgau;Vollendet;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Thurgau;Versucht;Unaufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Aktive Privatbestechung (Art. 322octies);Thurgau;Versucht;Aufgeklärt;*;*;*;*;*;*;*;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Zürich;Vollendet;Unaufgeklärt;8;7;4;5;6;9;4;5;24;15;5;6;7;1
Amtsanmassung (Art. 287);Zürich;Vollendet;Aufgeklärt;9;11;6;12;8;14;9;3;13;39;8;8;7;10
Amtsanmassung (Art. 287);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Zürich;Versucht;Aufgeklärt;0;1;0;0;0;0;1;0;0;1;1;1;0;0
Amtsanmassung (Art. 287);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Amtsanmassung (Art. 287);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;1;0;0;0;0;0;1;0
Amtsanmassung (Art. 287);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Amtsanmassung (Art. 287);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;1;1;0;0;0;0
Amtsanmassung (Art. 287);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
