Straftat;Kanton;Ausführungsgrad;Aufklärungsgrad;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Einschleichdiebstahl (Art. 139);Thurgau;Versucht;Unaufgeklärt;1;1;3;2;0;4;5;8;0;5;6;6;10;18
Einschleichdiebstahl (Art. 139);Thurgau;Versucht;Aufgeklärt;2;2;2;1;1;9;4;2;3;0;5;8;7;7
Entreissdiebstahl (Art. 139);Zürich;Vollendet;Unaufgeklärt;204;175;233;331;271;243;369;316;312;173;157;101;79;172
Entreissdiebstahl (Art. 139);Zürich;Vollendet;Aufgeklärt;39;31;36;51;32;41;32;37;39;24;30;23;33;27
Entreissdiebstahl (Art. 139);Zürich;Versucht;Unaufgeklärt;6;13;8;13;5;5;9;13;12;5;3;6;5;4
Entreissdiebstahl (Art. 139);Zürich;Versucht;Aufgeklärt;6;6;2;6;6;4;3;2;6;7;3;4;2;4
Entreissdiebstahl (Art. 139);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;1;1;2;3;1;0;0;0;0;0;0;0;0;1
Entreissdiebstahl (Art. 139);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Entreissdiebstahl (Art. 139);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entreissdiebstahl (Art. 139);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Entreissdiebstahl (Art. 139);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entreissdiebstahl (Art. 139);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entreissdiebstahl (Art. 139);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entreissdiebstahl (Art. 139);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entreissdiebstahl (Art. 139);St. Gallen;Vollendet;Unaufgeklärt;25;19;26;41;33;15;5;18;18;8;5;1;10;10
Entreissdiebstahl (Art. 139);St. Gallen;Vollendet;Aufgeklärt;6;12;9;10;3;10;4;7;3;2;4;1;1;4
Entreissdiebstahl (Art. 139);St. Gallen;Versucht;Unaufgeklärt;1;2;1;3;4;1;0;1;0;1;0;0;0;0
Entreissdiebstahl (Art. 139);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;2;1;1;0;0;0;0;1;1
Entreissdiebstahl (Art. 139);Graubünden;Vollendet;Unaufgeklärt;11;7;7;9;4;5;4;2;5;6;5;1;2;3
Entreissdiebstahl (Art. 139);Graubünden;Vollendet;Aufgeklärt;0;2;1;2;2;0;0;1;6;7;4;2;2;3
Entreissdiebstahl (Art. 139);Graubünden;Versucht;Unaufgeklärt;0;1;1;0;0;1;0;0;1;1;0;0;0;0
Entreissdiebstahl (Art. 139);Graubünden;Versucht;Aufgeklärt;0;1;0;0;1;0;0;0;0;0;1;1;0;0
Entreissdiebstahl (Art. 139);Thurgau;Vollendet;Unaufgeklärt;10;14;6;7;9;3;0;8;13;10;28;2;3;21
Entreissdiebstahl (Art. 139);Thurgau;Vollendet;Aufgeklärt;2;2;0;1;1;3;1;0;3;3;0;0;1;33
Entreissdiebstahl (Art. 139);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;2;1;0;0;0;2;1;1;1;0
Entreissdiebstahl (Art. 139);Thurgau;Versucht;Aufgeklärt;0;0;0;1;1;0;0;1;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Zürich;Vollendet;Unaufgeklärt;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Zürich;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Zürich;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);St. Gallen;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);St. Gallen;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Graubünden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Thurgau;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Entweichenlassen von Gefangenen (Art. 319);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entweichenlassen von Gefangenen (Art. 319);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Zürich;Vollendet;Unaufgeklärt;2;2;2;0;2;1;1;0;2;2;1;3;5;1
Entziehen von Minderjährigen (Art. 220);Zürich;Vollendet;Aufgeklärt;26;35;24;29;26;29;27;21;25;36;30;52;45;29
Entziehen von Minderjährigen (Art. 220);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Entziehen von Minderjährigen (Art. 220);Zürich;Versucht;Aufgeklärt;2;0;3;1;1;0;0;0;0;0;0;0;0;2
Entziehen von Minderjährigen (Art. 220);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;1;1;1;1;0;1;0;0;0;0;1;0;2;2
Entziehen von Minderjährigen (Art. 220);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);St. Gallen;Vollendet;Unaufgeklärt;1;1;2;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);St. Gallen;Vollendet;Aufgeklärt;3;4;3;11;6;6;3;8;9;4;3;9;2;6
Entziehen von Minderjährigen (Art. 220);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);St. Gallen;Versucht;Aufgeklärt;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Entziehen von Minderjährigen (Art. 220);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Graubünden;Vollendet;Aufgeklärt;0;2;1;1;0;3;0;0;0;0;1;0;1;4
Entziehen von Minderjährigen (Art. 220);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Thurgau;Vollendet;Unaufgeklärt;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Thurgau;Vollendet;Aufgeklärt;2;5;1;4;2;4;2;2;1;0;0;0;3;2
Entziehen von Minderjährigen (Art. 220);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Entziehen von Minderjährigen (Art. 220);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erpressung (Art. 156);Zürich;Vollendet;Unaufgeklärt;10;7;16;9;19;24;33;47;39;44;47;53;85;122
Erpressung (Art. 156);Zürich;Vollendet;Aufgeklärt;47;59;18;32;40;43;35;32;45;36;41;43;43;42
Erpressung (Art. 156);Zürich;Versucht;Unaufgeklärt;4;3;3;5;18;23;35;98;76;72;73;84;191;239
Erpressung (Art. 156);Zürich;Versucht;Aufgeklärt;10;12;8;12;10;21;24;31;31;30;33;21;29;36
Erpressung (Art. 156);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;2;2;1;0;0;1;0;2;1
Erpressung (Art. 156);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;1;0;0;0;0;1;0;0;0;0;0;0;0;0
Erpressung (Art. 156);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;19;2;3;4;2;6;4;4;0;4
Erpressung (Art. 156);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;1;1;0;1;0;0;1
Erpressung (Art. 156);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;1;2;3
Erpressung (Art. 156);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Erpressung (Art. 156);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;2;5;2;0;0;2;1;1;5
Erpressung (Art. 156);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Erpressung (Art. 156);St. Gallen;Vollendet;Unaufgeklärt;2;1;2;3;4;8;3;27;12;14;14;12;29;42
Erpressung (Art. 156);St. Gallen;Vollendet;Aufgeklärt;12;7;5;7;8;9;8;6;4;9;19;6;12;9
Erpressung (Art. 156);St. Gallen;Versucht;Unaufgeklärt;1;0;0;2;1;9;16;16;9;10;23;12;67;61
Erpressung (Art. 156);St. Gallen;Versucht;Aufgeklärt;0;2;0;3;1;3;4;1;2;4;3;7;4;3
Erpressung (Art. 156);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;5;4;1;2;0;4;5;11;10
Erpressung (Art. 156);Graubünden;Vollendet;Aufgeklärt;2;0;1;1;8;4;2;5;2;1;0;2;1;6
Erpressung (Art. 156);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;6;14;9;13;8;8;10;9
Erpressung (Art. 156);Graubünden;Versucht;Aufgeklärt;1;0;0;0;1;0;4;0;3;1;0;0;0;1
Erpressung (Art. 156);Thurgau;Vollendet;Unaufgeklärt;1;0;0;0;0;1;4;2;1;1;5;2;12;19
Erpressung (Art. 156);Thurgau;Vollendet;Aufgeklärt;5;2;2;3;0;2;4;6;8;1;6;5;5;12
Erpressung (Art. 156);Thurgau;Versucht;Unaufgeklärt;0;1;6;0;1;10;20;18;7;22;10;15;29;21
Erpressung (Art. 156);Thurgau;Versucht;Aufgeklärt;0;0;2;1;1;1;0;0;2;3;3;2;4;1
Erschleichen einer Leistung (Art. 150);Zürich;Vollendet;Unaufgeklärt;8;2;4;5;10;22;20;27;26;16;16;5;8;11
Erschleichen einer Leistung (Art. 150);Zürich;Vollendet;Aufgeklärt;51;125;92;72;102;116;140;138;134;183;145;263;449;444
Erschleichen einer Leistung (Art. 150);Zürich;Versucht;Unaufgeklärt;0;1;0;0;0;0;0;0;0;0;0;0;0;1
Erschleichen einer Leistung (Art. 150);Zürich;Versucht;Aufgeklärt;1;3;4;0;0;1;5;2;5;6;4;9;22;5
Erschleichen einer Leistung (Art. 150);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Erschleichen einer Leistung (Art. 150);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;2;1;1;0;0;0;0;1;0;0;0;1;0;0
Erschleichen einer Leistung (Art. 150);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Erschleichen einer Leistung (Art. 150);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;1;5;0;2;0;1;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);St. Gallen;Vollendet;Unaufgeklärt;3;3;3;2;1;0;7;1;1;0;2;3;6;4
Erschleichen einer Leistung (Art. 150);St. Gallen;Vollendet;Aufgeklärt;6;29;61;47;37;23;36;23;21;31;50;55;79;69
Erschleichen einer Leistung (Art. 150);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Erschleichen einer Leistung (Art. 150);Graubünden;Vollendet;Unaufgeklärt;0;1;1;1;1;2;0;7;2;1;0;1;1;0
Erschleichen einer Leistung (Art. 150);Graubünden;Vollendet;Aufgeklärt;3;9;4;7;36;8;9;83;15;3;7;19;31;31
Erschleichen einer Leistung (Art. 150);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;1;0;3;4
Erschleichen einer Leistung (Art. 150);Thurgau;Vollendet;Aufgeklärt;2;3;5;12;4;11;9;7;5;2;5;11;32;17
Erschleichen einer Leistung (Art. 150);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichen einer Leistung (Art. 150);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;1;0;0;0;1;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Zürich;Vollendet;Unaufgeklärt;0;2;0;0;0;1;0;1;0;6;0;0;0;1
Erschleichung einer falschen Beurkundung (Art. 253);Zürich;Vollendet;Aufgeklärt;16;23;19;17;29;14;64;47;31;39;11;26;17;35
Erschleichung einer falschen Beurkundung (Art. 253);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Erschleichung einer falschen Beurkundung (Art. 253);Zürich;Versucht;Aufgeklärt;6;13;4;3;2;3;5;4;4;3;5;3;5;9
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;1;0;0;0;2;0;0;0;0;1;2;7
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);St. Gallen;Vollendet;Unaufgeklärt;0;0;0;1;0;0;2;1;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);St. Gallen;Vollendet;Aufgeklärt;4;4;1;1;4;3;2;3;1;2;2;1;4;10
Erschleichung einer falschen Beurkundung (Art. 253);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);St. Gallen;Versucht;Aufgeklärt;0;0;0;1;0;2;0;2;1;0;0;0;1;1
Erschleichung einer falschen Beurkundung (Art. 253);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Graubünden;Vollendet;Aufgeklärt;0;1;0;1;1;2;3;0;1;1;1;3;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Thurgau;Vollendet;Aufgeklärt;11;0;1;1;2;0;5;4;5;1;4;5;3;7
Erschleichung einer falschen Beurkundung (Art. 253);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung einer falschen Beurkundung (Art. 253);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Zürich;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Zürich;Vollendet;Aufgeklärt;0;0;1;0;0;0;0;0;0;0;1;0;0;1
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Zürich;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);St. Gallen;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);St. Gallen;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Graubünden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Thurgau;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Thurgau;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschleichung eines gerichtlichen Nachlassvertrages (Art. 170);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Zürich;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;1;0;1;0;0;0
Erschwerende Umstände (Art. 184);Zürich;Vollendet;Aufgeklärt;0;0;0;1;0;1;0;1;0;6;0;0;2;0
Erschwerende Umstände (Art. 184);Zürich;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Zürich;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Ausserrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Ausserrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Ausserrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Ausserrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Innerrhoden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Innerrhoden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Innerrhoden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Appenzell Innerrhoden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);St. Gallen;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);St. Gallen;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);St. Gallen;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);St. Gallen;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Graubünden;Vollendet;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Graubünden;Vollendet;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Graubünden;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Graubünden;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Thurgau;Vollendet;Unaufgeklärt;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Thurgau;Vollendet;Aufgeklärt;0;0;0;0;1;0;0;0;0;0;1;0;0;1
Erschwerende Umstände (Art. 184);Thurgau;Versucht;Unaufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erschwerende Umstände (Art. 184);Thurgau;Versucht;Aufgeklärt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
